side,source_label,relative_path,feature_set,feature_name,policy_or_status,source_feature_column
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,payment_is_mobile,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,payment_is_pc,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,payment_is_android,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,payment_is_ios,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,total_watch_count,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,unique_movie,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,active_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,total_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_per_day,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,median_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,std_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_daily_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,max_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,max_daily_watch_time(min),,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,max_daily_sessions,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,recency,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_gap_between_watch_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_gap_w1_watch_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_gap_w2_watch_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_gap_w3_watch_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,max_inactive_gap_days,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,avg_rewatch_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,weekend_watch_ratio,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_ratio_under_1m,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_ratio_under_5m,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,movie_per_active_day,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,max_day_share,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,day_count_over_3times,,original_feature_name
park,park_feature_inventory,park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_260515\05y_expanded_feature_contract.csv,expanded_feature_set,watch_time(min)_w1,,original_feature_name
