trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf
73,0.8719522208986082,0.8800229762384572,0.896164486918155,0.016141510679697824,False,1011,3,0.013290364229737308,90.19866655323541,1.076040877268919,0.346679533887111,65,53
83,0.8719201252630745,0.8791883845324279,0.8937249030711346,0.014536518538706744,False,1027,3,0.012095559869471124,99.42995812810447,1.0512551776815628,0.30759384062081946,64,49
87,0.8719064529072311,0.8808387679359029,0.8987033979932464,0.01786463005734351,False,1164,3,0.012651293442411726,77.92328433169627,1.097204452040757,0.28810938234600336,62,51
70,0.8718869103570371,0.8807042387876196,0.8983388956487846,0.017634656861164943,False,949,3,0.015093080060774594,80.71201729570453,1.0550767110329335,0.33829405134946444,65,53
72,0.87188115073769,0.879690988280538,0.895310663366234,0.01561967508569595,False,942,3,0.01368446643104291,90.4918476117483,1.0222384001730114,0.3338830168356677,66,53
85,0.8718789555346428,0.8797430467366458,0.8954712291406519,0.015728182404006086,False,1168,3,0.011033038916543903,76.62776609141955,1.1033308115628935,0.3488796085043264,63,45
71,0.8718332389686209,0.8795313003132561,0.8949274230025266,0.015396122689270486,False,947,3,0.013325543976486874,90.38966955027404,1.0084592517235982,0.3362708374211107,64,54
82,0.8718147774713535,0.87987729595855,0.8960023329329431,0.016125036974393048,False,1080,3,0.01210569907316258,81.85549798842656,1.0388413484179555,0.3278143666939921,62,49
74,0.871789777053924,0.8804811870493318,0.8978640070401471,0.017382819990815368,False,1061,3,0.013707180958285667,91.27274101458335,1.0245234500501068,0.3517189279372909,68,54
67,0.8717653430537147,0.8806467607314283,0.8984095960868557,0.01776283535542733,False,952,3,0.01528934415326168,76.85753460318348,1.0087033438491502,0.33946665124670466,51,52
69,0.871751577793685,0.8801560694929507,0.8969650528914821,0.01680898339853143,False,941,3,0.015222547958290105,91.44946398536203,1.2524782945550401,0.34692741401720156,67,53
86,0.8717322778589327,0.8800377873991954,0.8966488064797206,0.016611019080525202,False,1182,3,0.011146794818256802,74.26815455027493,1.001069823015308,0.32230201561008415,74,44
93,0.8716672082842252,0.8811567976417589,0.9001359763568265,0.0189791787150676,False,1149,3,0.014040266576977108,88.17313791781689,1.1560526823893154,0.23917349133961158,60,58
95,0.8716656653747951,0.8795324237938204,0.8952659406318709,0.015733516838050576,False,1035,3,0.011957650561574993,67.72980245422978,1.0027953413609363,0.3727616401631792,60,52
99,0.8716493101543172,0.8804182980819067,0.8979562739370858,0.017537975855179022,False,986,3,0.014574142031731603,86.87137276220811,1.1176463935179746,0.24289975601215918,77,57
88,0.8715794712589054,0.8802323572187685,0.8975381291384945,0.017305771919726043,False,1154,3,0.012338558213946022,80.3584992976863,1.0981179431259005,0.297322155450231,62,49
84,0.871542053773122,0.8789787452077185,0.8938521280769114,0.01487338286919293,False,1026,3,0.011741098131180013,82.36041404335211,1.0286896955571698,0.30754044955530324,62,48
77,0.8714757076155899,0.8797193940141408,0.8962067668112427,0.016487372797101885,False,1055,3,0.013454508752228577,99.7727913342894,1.2347831738974615,0.4652635428966264,68,57
75,0.8714515471322636,0.8802879375232555,0.8979607183052394,0.017672780781983866,False,1109,3,0.013229830339175148,91.58899692096557,1.2497768268801361,0.41890998894545267,71,54
79,0.8714319881314966,0.8796038285874213,0.8959475094992706,0.016343680911849345,False,1008,3,0.013826787642071936,84.64049414735372,1.4234559741086739,0.4722223254392189,79,57
81,0.8714227423535903,0.8802941087176235,0.89803684144569,0.01774273272806648,False,1116,3,0.013500616986517153,92.59853350149457,1.2305265468482403,0.3988695697798418,71,61
41,0.8713744673389452,0.8808813428275766,0.8998950938048393,0.019013750977262767,False,669,3,0.02827169671295099,59.88603097865013,6.210862830967847,0.14134189876070322,33,48
