feature_set_name,dataset_scope,model_name,source_row_index,USER_KEY
expanded_feature_set,overall_with_promotion,LightGBM,14802,41ed851554904c51562c437acc20ed6ddf214911b8bf71c94f1b705f784fc4c7e78e9ee2bb7282474e06b9abbcfeb96550df5f74bc1a5068f55a37c7ca38dcb9
expanded_feature_set,overall_with_promotion,LightGBM,3065,5ca0994ab6b6271387e25050abc19b2b25f29ebfb51dbacc7575ebeefd24be1ebac42ad0dc9d3c292ee8b4a18bf563192917c10ebf591b0d61abb44fe443c45b
expanded_feature_set,overall_with_promotion,LightGBM,18503,59ef94c76b42c8dda54dd55fa721668221445d647129f8bfaacb7b96e68ea9511c01999a4c7b53a85e6f0efe53ef1c641307ace72ba85c7955936bb689804c45
expanded_feature_set,overall_with_promotion,LightGBM,10931,ac8ed5a3cf991310bf8fe0fa3e4dd07c8eeb1e13e6941e4ee54ebfb263e625460d3405d3614959b8387c0d53e8f509dfb1df16d62db2c83860945cd899264da9
expanded_feature_set,overall_with_promotion,LightGBM,2121,7bad61ef417a9aba76a9cc1f983f29a4c26f60f46dc063918e480f22b842ac4e182d3f8fe8a2a43f5eece84742ffcb8e837a3a11800b1cd71b4a251b2fb8ef76
expanded_feature_set,overall_with_promotion,LightGBM,17566,0857fef20b625ca50440e48a324ba28b4b9484b25eafc61e4ebfa388859fe69b963c651a117c1ac842a5427cef03e5759c7b2d97561ae748c9624dcd8e40d2be
expanded_feature_set,overall_with_promotion,LightGBM,13717,13dbc0ce9105529d01d0221af5d961a338f012cd875374786ad060e12b068827ef854b36cc601f3d29b6588e05ec2e2da5a3642a98c60b719e6f3449d49e901d
expanded_feature_set,overall_with_promotion,LightGBM,4889,4c1b2c8c5d5ebee778a3336ce213c93714b1095736c755212380522ede4be99c1168fb53d841dbb2d8f023565845f3939465d2e5f42280830e24418628e7a4ed
expanded_feature_set,overall_with_promotion,LightGBM,14027,b092e8934bb74be995a02cc54c6e8b54bea630f05c932854c66cfed989864d8d2cf56fbc1e1663f1ac19135cacac401bc64fa05aeae340cc3a0f7d1547e00961
expanded_feature_set,overall_with_promotion,LightGBM,238,0f2eea8d12d60fad4c85144478f71e4f1502c43b4130f3d7a22948a42549685477dae0adf825e914ccb153fffd7e7c4545725984e24873841e1a93b89c78ac67
expanded_feature_set,overall_with_promotion,LightGBM,19095,c3d58d5ea866e2b24d51e793277b46bc557ef88692a53c7e45070111106837772efdc19976ad5682a08b340789924e0e830b41d13ad4e80a4bf1d0c01aa2dff8
expanded_feature_set,overall_with_promotion,LightGBM,6525,ae9d6f16c3605327d387b076fc1edbb9d6c164be2b24d9a5d6b096e134768bef07e80a7e84c7faab309b5c1e2c64a5d6e28b460ff5211f5b3f8133a2f2cb9955
expanded_feature_set,overall_with_promotion,LightGBM,14120,ee709a6c4a700b1cb54d2b9b2d5ac7920056944f0dc26088c18cb852768769d4c12fa0a64f0463c9be613fc44dd041c61eb3b55e9a72766d0839174e44948220
expanded_feature_set,overall_with_promotion,LightGBM,1445,40f1abe962a1da164902798d7a2bf7b97e5e11b332732640f66bf3dd96aa72f89fb53e9fd44bf9ae8128369bee40c6a77959f9e0caa93a2ed551ee749548e37b
expanded_feature_set,overall_with_promotion,LightGBM,5425,f62884c147b9dbc277e00d9f197e10b9d83d8273cee3c75a118fcfacacee28e90204cc0eb14e3efa2a8c2bd1bfae72dbda6691d147b51296000c9063218c15db
expanded_feature_set,overall_with_promotion,LightGBM,2684,09e07f706df3f791dc16555d4346ab3816104d97b6813aca3811b4cda918d49cbd188b4f375d5bde6deb0137a01b9e77d1837c700a60c3492e0a65cedfb45dbb
expanded_feature_set,overall_with_promotion,LightGBM,10951,dbe2d4cc8763e93e57d082608f33cb1c5e94514e83cc0cf09ddb6f18a616ff687a1424d005414be3ed7cbbc119494e05a92ebc54c59c8aaf6bfdcb38098c6d80
expanded_feature_set,overall_with_promotion,LightGBM,1987,2d88bfc89fe37028b6db0790ca99cf0a11402d16b086a01c5f88a1ca6dde762a7298f5dfe66443405ef6aa9185b5e60c95a89966d097d7c6010057f247bb1b2f
expanded_feature_set,overall_with_promotion,LightGBM,4275,931ba0f7265a5ce7912cd3493a0191d3402ddc661bbbdd95bcbd1ab29fa8425193663d6d62dcb7147025f527e518b473d6c4b7101c4a52ee00f1b4f7a4fc0fb4
expanded_feature_set,overall_with_promotion,LightGBM,9205,d6611692d49bb9a80cca8480994260c0df9183249fbd42083f438471c132ad683e86ef4904dcc04e614431788a48ee733f576d5849f53a2758e80b05eefebb31
expanded_feature_set,overall_with_promotion,LightGBM,10755,e5340fc2660e661a3bf71d041065ebdbc3040f0c07144c84204e5c4080d86fde40be662e5542ecf771520a6c7acbd6ef5bae16be933accc7ad86d360e5d51797
expanded_feature_set,overall_with_promotion,LightGBM,3702,dfc432daeb530368c9aaf521f1e28815cd74129eaa6eb55943f13bd69a43658c4c0e9af425c2796201c339ec5164933f77b9dd61c4f6c475dcd26874bbf23ce3
expanded_feature_set,overall_with_promotion,LightGBM,408,224aa94d8ff92c233a126584ef8e3f6bec5f0b478db184cfaf38fb198500d59c1373ae601144c315db02ebf4ec8967d1d8aa7e1fbe1ab7ddb895c9bed3c0b7a1
expanded_feature_set,overall_with_promotion,LightGBM,21469,9df3923c51a6e596b2a749bb3b6e58ea7c37f18d14b88254fdd3b9c0beb6e90c1bc676694d8482a842c4726bbcaab9b48d0b3d7760c8a7eae2420fe0d1f5b7dd
expanded_feature_set,overall_with_promotion,LightGBM,12480,f0a8c0b67f41a9c94d6a5f0b7c9429c895a9acf0900955af0d898ff47bdd1b4de75e9af51d8388a9b0310ef9d884fa937fafc5f68e33247c075f376f83d92d21
expanded_feature_set,overall_with_promotion,LightGBM,22305,86c0921df5794dfea5b4204c7ccc153e29de809b9e321786321c7c2c0ac4a3e374034534dfd088e3c70d5d3c6397f89d5d2eafcee10964e9a2f8e5ec0463675e
expanded_feature_set,overall_with_promotion,LightGBM,19973,37b1dd5f299884c12b1be418a17dc35e3ea49ad1155a1a1865d15f1196773bb280503533dce0abcc47e51ac0ec90eb2c321b0d341294fca4f890309c8ae13235
expanded_feature_set,overall_with_promotion,LightGBM,12453,19e54fa46b5b071eb7d489bad1a1e05ce68c02b5c372f79cad14be695bc5439aceec1e97cac05007444bdf9591d7bbb045c174aeec998b6ada27444f9efe32fe
expanded_feature_set,overall_with_promotion,LightGBM,18249,cbd4646e9ecf0d27fc489bba88922e7be363d3f6f3b0d876b23b3a378fc4ea7ef335b2575d00c7fce1f55228803e84fb918a2f1442e60bdfdf2dfa801d9e5c20
expanded_feature_set,overall_with_promotion,LightGBM,7658,f323955a366e5e6654cd13c6b5cfed266b9e8f759ec5ccaf98e3f1b6f4945f28d5493d5135a1db432ae7aa2fe6d6dc6e7609cb0bec586136d3434c42a4475096
expanded_feature_set,overall_with_promotion,LightGBM,22575,0526b10b74827f72cd93a4acbc6bc9c28c135c37c107648270701701c370df7777d17c7e0c6edac7a6a8e32f4eaeaf33dfa1d9cb349f3b47c5eb304ac537f7f7
expanded_feature_set,overall_with_promotion,LightGBM,18140,4cac5bb5936e1532f0b4bc6f30494286587d5b5b66145d1adb6d740701b4f1f946cca7dbc80a2a15cecc68c0af41a44903a5b4cabeefdef427e6647c404dabbf
expanded_feature_set,overall_with_promotion,LightGBM,5544,38ccf417fb29615bbbf072862f1017fae4913cc09c6e4ffe8e2ebf1be7f574d4b6b3167f5abc7b8e5d3f1a12a1cd6c0fcf8a6f09f8529bc27544bb9f3ff556c4
expanded_feature_set,overall_with_promotion,LightGBM,1629,b88cb565792eae8391e8557320c22ff4fc74390e24329b6ce386f3578b5a2aaa38880458b9f580bb8b3893930eedd8c8a72e1959c5cedc028441e3df671418be
expanded_feature_set,overall_with_promotion,LightGBM,9757,f0a16a142a70efcef0fddd5dcddb238435892d04d82f5c13015f3db7a41ef9725f79d8f2046cf8fb666c7d7591871effdae89c95f3c55cc187f48f83dd111524
