trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf
73,0.8511047889623347,0.8590086989308631,0.87481651886792,0.015807819937056933,False,1066,3,0.01464699487212979,80.12046420215238,2.185635463552189,0.1664797811276772,35,44
51,0.8509465884493114,0.8586751183675174,0.8741321782039295,0.015457059836412101,False,900,3,0.016806783363922155,72.27689549301455,2.165073743078737,0.31094734812348834,33,65
98,0.850920148822308,0.8596122444720521,0.8769964357715402,0.017384191299488094,False,1111,3,0.013887639693829579,88.10422299619033,1.246882047469067,0.1732923795907651,34,30
92,0.8509124990423862,0.8600278047179042,0.8782584160689402,0.018230611351035986,False,1154,3,0.014761064426128505,74.83365287779093,2.0596043288107575,0.08895262163068177,36,70
83,0.8508521936540683,0.8597547857476275,0.8775599699347462,0.017805184187118628,False,1134,3,0.01411693643449605,76.38865700813432,1.5750402925177915,0.16191722484281418,35,74
75,0.8508213498123367,0.859854065567583,0.8779194970780757,0.01806543151049267,False,1147,3,0.014890771869405186,76.00233091772212,2.131872605284103,0.25731641454355286,32,67
84,0.850591691633601,0.8586108670173207,0.87464921778476,0.016038350767439313,False,1119,3,0.013682138593345954,75.4545556213572,2.0650885499484444,0.11642163412094247,32,74
76,0.8505552649546082,0.8589021575349133,0.8755959426955233,0.016693785160610042,False,1123,3,0.014238300791218801,90.029575358888,2.07928851988189,0.32963874366518414,32,37
91,0.8505355866326356,0.8596172116036588,0.8777804615457052,0.018163249942046433,False,1144,3,0.014684751171350322,58.153830627704224,2.1922402412641575,0.13803100163995988,32,66
38,0.8505078465335983,0.8581984492650541,0.8735796547279655,0.01538120546291144,False,717,3,0.01956221045857583,66.66392931985867,1.5493500317749564,0.24154621411154173,45,55
93,0.850478934316204,0.8604742145816966,0.8804647751126817,0.019990560530985135,False,1149,3,0.014729948521237556,78.78667274586878,1.1179641060172043,0.08895794514613442,36,73
42,0.850456057897659,0.8601668152179036,0.8795883298583929,0.019421514640489246,False,745,3,0.022705850582003133,62.25370823542006,1.6014493719349037,0.1285720700854141,58,53
94,0.8504385290636531,0.8604193393089992,0.8803809597996912,0.019961620490692056,False,1148,3,0.01452417895135884,78.89322575130508,1.112014405544981,0.07707656401408991,36,73
97,0.8504072576504145,0.8607587487725807,0.8814617310169133,0.020702982244332535,False,1189,3,0.014746662366834695,74.85139081431319,1.0995139837587702,0.1459939332306024,32,72
50,0.8503776782331464,0.8582690118759058,0.8740516791614246,0.015782667285518803,False,895,3,0.016963462289226846,73.30942446162632,2.1842001046627364,0.30447731961398816,32,58
99,0.8503644931263439,0.8586772522946535,0.8753027706312727,0.016625518336619183,False,1110,3,0.013032415529343462,85.47880960254167,1.236178026927193,0.16665210574441575,44,21
95,0.8503570981736414,0.8576650765410705,0.8722810332759288,0.01461595673485827,False,1177,3,0.012332951300837974,69.38078743127184,2.4136683219336414,0.09839461443009467,37,70
53,0.850343746849684,0.8585212096048439,0.8748761351151639,0.01635492551032003,False,904,3,0.016967853092384518,58.549582483369626,2.168581962757393,0.27956477368102045,32,66
81,0.8503320466548192,0.8594898938416353,0.8778055882152674,0.01831569437363212,False,1178,3,0.014251904950530315,90.74714404184643,1.8460790513228342,0.251254180306078,35,62
65,0.8503293946427514,0.8608109034707141,0.8817739211266395,0.020963017655925453,False,1090,3,0.017465874972498806,89.0592029028302,1.8108567531528923,0.2521790445225462,35,48
87,0.8502771703578784,0.8598624415164435,0.8790329838335739,0.019170542317130335,False,1108,3,0.01550441721867755,67.59106153600204,2.0298395296243394,0.07230506358064898,37,81
85,0.8502177190111846,0.8583902113759854,0.8747351961055868,0.01634498472960144,False,1123,3,0.012939911709916948,77.77334773397659,1.5295408696435364,0.11647922605916083,72,73
82,0.8502120484148044,0.8593080928911405,0.877500181843813,0.018192088952672436,False,1170,3,0.014348217707579968,92.86749822927426,1.9187605267837728,0.20757192734725166,39,62
67,0.8500643938401513,0.8590918106558089,0.8771466442871241,0.018054833631315215,False,1089,3,0.01587667224357781,71.0113249154551,2.9153263650939554,0.2773158859924179,46,54
33,0.8500429055766593,0.8588534407105388,0.8764745109782979,0.017621070267759054,False,859,3,0.017308046524952148,53.454574352607,1.4391449854386795,0.20347504812473888,95,96
71,0.8500134286096381,0.8602510476450227,0.8807262857157918,0.02047523807076912,False,1118,3,0.016471419727051156,69.21839664919753,1.9764813740287748,0.24258646771244752,42,49
62,0.8500017062120211,0.8611303797304819,0.8833877267674035,0.022257347036921615,False,1020,3,0.019443838301394102,54.719011636160246,1.6970908560994453,0.21789462760694564,34,52
63,0.850000588766329,0.8605549301279443,0.8816636128511748,0.02110868272323052,False,1006,3,0.018911204281791886,64.69615600696223,1.7004198086018594,0.33228809969696604,32,51
32,0.8499508812581154,0.8611874327574192,0.8836605357560267,0.022473102998607497,False,982,3,0.020395268062818377,53.760299162746406,1.4419394444888405,0.22804754684172623,128,86
22,0.8498801545227856,0.8595629881480609,0.8789286553986114,0.019365667250550556,False,887,3,0.018054637486152297,73.96382985156562,1.3214875174737393,0.4156904943166735,116,98
41,0.8498727697081434,0.8583075043272821,0.8751769735655595,0.016869469238277368,False,742,3,0.019518278697628785,66.0208232007662,1.4063808256192427,0.18557756462850186,60,52
54,0.8498264232133876,0.856675523769279,0.8703737248810617,0.01369820111178266,False,906,3,0.015133930829998463,80.998214654953,2.1571135006258886,0.3054474360386702,33,65
70,0.8498060217598005,0.8584291338404496,0.8756753580017478,0.017246224161298174,False,1073,3,0.015345807274130305,76.61927534673706,2.8884546340207073,0.28424813676671534,51,54
64,0.8497655845537451,0.8582320890384935,0.8751650980079901,0.016933008969496677,False,944,3,0.016490460040064218,42.028392574100444,2.4637784367542523,0.3840942574293498,40,33
34,0.849722062944604,0.8605121418156918,0.8820922995578675,0.0215801577421757,False,881,3,0.020107570239793048,54.10131640529693,1.3990113795713308,0.19089317230481156,92,96
49,0.8496843400316166,0.859595798487689,0.8794187153998336,0.01982291691214466,False,723,3,0.022776831437826238,99.944350922443,1.1783364154215352,0.22297601601065842,123,25
