feature_set_name,feature_family,transformed_feature_count,sum_abs_coefficient,mean_abs_coefficient,net_coefficient
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,membership_context,5,0.7134184148462811,0.1426836829692562,0.7134184148462811
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,other,45,8.952152541913957,0.1989367231536435,1.2122036569350223
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,membership_context,5,0.6579441146264435,0.1315888229252887,0.6579441146264435
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,other,33,5.21163107770455,0.15792821447589545,3.4968452850854583
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,membership_context,5,0.713168983055804,0.1426337966111608,0.713168983055804
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,other,44,8.903610744806446,0.20235478965469197,1.2325642245404305
pruned_w1_3_timing_sensitive_all_weeks_reference,membership_context,5,0.7134184148462811,0.1426836829692562,0.7134184148462811
pruned_w1_3_timing_sensitive_all_weeks_reference,other,45,8.952152541913957,0.1989367231536435,1.2122036569350223
pruned_w1_3_early_safer_week1_2_reference,membership_context,5,0.5921517460302816,0.11843034920605633,0.5921517460302816
pruned_w1_3_early_safer_week1_2_reference,other,31,5.3451567594843326,0.17242441159626878,2.2787760870711335
pruned_w1_4_late_period_comparison,membership_context,5,0.7949099607224417,0.15898199214448833,0.7949099607224417
pruned_w1_4_late_period_comparison,other,47,9.494973201983731,0.20202070642518577,3.8879530404880853
