feature_set_variant,dataset_scope,model_name,oof_auc,oof_ap,oof_brier,oof_logloss,train_valid_auc_gap,fold_auc_std,row_count,feature_count
expanded_no_payment_device,overall_without_promotion,LightGBM,0.8738093990564632,0.9456030816580341,0.1272974495156405,0.39293813921039505,0.06266936835891761,0.002368339881316614,23079,75
expanded_no_payment_device,overall_without_promotion,CatBoost,0.8726647096867026,0.9453838224699072,0.12901601422668604,0.39855570840648336,0.021264636727361876,0.0018058331671096438,23079,75
expanded_no_payment_device,overall_without_promotion,HistGradientBoosting,0.8726277970684639,0.9450417456890731,0.12791214222093406,0.3946289653445173,0.05546853772697331,0.0024123967338833823,23079,75
expanded_no_payment_device,overall_with_promotion,LightGBM,0.8787158139009142,0.9480600602527524,0.12522006314798975,0.3866230396761629,0.06041075427933025,0.00253848194888857,23079,76
expanded_no_payment_device,overall_with_promotion,CatBoost,0.8778380974040094,0.9477560292606252,0.12698618778114787,0.392739084597018,0.02074060612344415,0.0016336670265856353,23079,76
expanded_no_payment_device,overall_with_promotion,HistGradientBoosting,0.877866883875107,0.9478142212980036,0.12576213909757664,0.387735043458732,0.056703982228073865,0.0026504957400190965,23079,76
expanded_no_payment_device,promotion_only,LightGBM,0.861950478004834,0.9303479125486989,0.14063986908585568,0.42778923464221025,0.09706126306127612,0.006279179268636622,11904,75
expanded_no_payment_device,promotion_only,CatBoost,0.861347339153776,0.9302390089912584,0.14180941474447187,0.43313682122510944,0.040843706481475194,0.004338898892965328,11904,75
expanded_no_payment_device,promotion_only,HistGradientBoosting,0.8611535592801833,0.9298287424519509,0.14104953332628767,0.4295071099679892,0.10657817798970362,0.006336185394416258,11904,75
expanded_no_payment_device,nonpromotion_only,LightGBM,0.8847470889366331,0.9580454155474049,0.11223490676332772,0.35261200803810655,0.08962227178255214,0.008154445879843647,11175,75
expanded_no_payment_device,nonpromotion_only,CatBoost,0.8864878252566246,0.9595980653182077,0.11250447017784902,0.35277857466715457,0.03908777532190864,0.005471059953945181,11175,75
expanded_no_payment_device,nonpromotion_only,HistGradientBoosting,0.8828173876908658,0.9575762083175814,0.11368173025738171,0.3567382406164282,0.09773801737489649,0.008282375530597038,11175,75
