trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,n_estimators,learning_rate,max_depth,min_samples_leaf,min_samples_split,subsample,max_features
72,0.845816016583183,0.8589081082436664,0.8850922915646333,0.026184183320966947,False,246,0.04263334311821694,3,87,538,0.7247191081754069,
73,0.8448001473403324,0.8586450612351415,0.8863348890247597,0.02768982778961815,False,245,0.04286623651171074,3,85,493,0.7244471038765352,
83,0.8447426915879912,0.8581432590153909,0.8849443938701903,0.026801134854799402,False,234,0.04526906046269127,3,91,500,0.7162948204956464,
81,0.8446239255874084,0.8581804964605553,0.885293638206849,0.027113141746293756,False,247,0.04188388809897256,3,84,481,0.7359966046399449,
74,0.8446089659379388,0.8582159966365328,0.8854300580337208,0.02721406139718796,False,246,0.04239366255576543,3,81,498,0.7266154703313176,
62,0.8445840956645039,0.8589869808946469,0.8877927513549327,0.028805770460285873,False,232,0.047393951116964816,3,123,444,0.7911296408506574,
93,0.8445654036912598,0.8578678776511961,0.8844728255710687,0.026604947919872557,False,226,0.043809224943728145,3,91,499,0.7375925322691872,
92,0.8445558503632948,0.8576054031427663,0.8837045087017092,0.026099105558942903,False,234,0.040377359100803596,3,78,492,0.7377186928687545,
63,0.8445444166828957,0.8583819013739798,0.886056870756148,0.02767496938216818,False,230,0.04438261729151318,3,114,449,0.7943689260685143,
89,0.844528098507111,0.8575350801814065,0.8835490435299974,0.026013963348590963,False,237,0.04050435598399473,3,82,511,0.7107526778847704,
87,0.8445166070013949,0.8575266446507488,0.8835467199494567,0.026020075298707868,False,236,0.040261857019662145,3,83,493,0.7147258973912543,
88,0.8445008415367155,0.8575055970123753,0.8835151079636949,0.026009510951319648,False,237,0.04033596325141561,3,81,517,0.7159906211893992,
90,0.8444885029279567,0.8561461541459273,0.8794614565818686,0.023315302435941265,False,217,0.038668745507654305,3,101,556,0.7127425100238229,
91,0.84442319389133,0.8559859671094727,0.8791115135457581,0.023125546436285394,False,236,0.0342537451150745,3,82,512,0.696706062580917,
76,0.8443589152151629,0.8581522507819228,0.8857389219154426,0.027586671133519758,False,246,0.041748691734388325,3,62,483,0.7305134302410994,
97,0.844336710725049,0.8574104540442198,0.8835579406825614,0.026147486638341655,False,219,0.04296758985924575,3,98,493,0.767845698355408,
94,0.844273297851944,0.857857447483406,0.8850257467463297,0.027168299262923745,False,226,0.04370544192844667,3,91,471,0.7538789574784792,
14,0.8442532334414641,0.8573437139390606,0.8835246749342538,0.02618096099519318,False,185,0.04936140536977778,3,143,169,0.7220648662649468,
85,0.8442476993656162,0.8582601432419347,0.8862850309945717,0.028024887752637007,False,245,0.04528451433585221,3,74,476,0.6889400751947127,
66,0.8442458744431027,0.8578245777524405,0.884981984371116,0.027157406618675495,False,234,0.04209656964486646,3,115,535,0.8463276092573029,
77,0.8442050323991946,0.857870846186828,0.8852024737620946,0.027331627575266637,False,245,0.042048942603064576,3,66,484,0.7304762192743571,
31,0.8441584491590417,0.8521374988256071,0.8680955981587379,0.01595809933313086,False,249,0.0445999095103367,2,201,168,0.7711799119509012,
57,0.8441043897668691,0.8577719574663709,0.8851070928653746,0.027335135399003674,False,241,0.039910587864093586,3,121,392,0.8045827045908577,
80,0.8440881341122803,0.8575068245061669,0.8843442052939399,0.02683738078777298,False,233,0.042421626705610144,3,57,523,0.7012636031138813,
98,0.843955140469738,0.8590091159036257,0.8891170667714012,0.030107950867775513,True,250,0.04851638800864624,3,110,510,0.7364815051487232,
75,0.8439335543248343,0.8584547807191829,0.8874972335078801,0.029042452788697215,False,250,0.04384593275425745,3,86,502,0.7513221671181574,
54,0.8439228989377766,0.8521553057010601,0.8686201192276272,0.016464813526567035,False,239,0.04676575169888442,2,161,327,0.7194721668250957,
69,0.8438266332184707,0.8560716154862178,0.880561580021712,0.024489964535494235,False,230,0.03734435604344362,3,128,539,0.7808617051264073,
52,0.8437846198809016,0.8521104561703234,0.8687621287491671,0.0166516725788437,False,239,0.04697888214140943,2,139,304,0.6373656079032799,
82,0.8437786998608101,0.8565540270731725,0.8821046814978972,0.025550654424724706,False,244,0.035972903089567076,3,85,452,0.7364155788479645,
95,0.8437293776011752,0.8581807140355379,0.8870833869042632,0.028902672868725388,False,231,0.045479707802235265,3,73,448,0.7380691028992891,
84,0.8437073523924055,0.8551184791966516,0.877940732805144,0.022822253608492327,False,172,0.0448559663604539,3,89,498,0.7206350166872784,
56,0.8436042568954325,0.8570073745256964,0.8838136097862244,0.026806235260527944,False,241,0.039394799129067876,3,120,409,0.7617409810917101,
42,0.8435098446608931,0.8515693349698967,0.8676883155879039,0.016118980618007206,False,222,0.04768510316977953,2,137,246,0.6477561283436625,
70,0.843502919044756,0.8560855294613179,0.8812507502944416,0.02516522083312367,False,200,0.04100403167824405,3,99,461,0.8425740814101907,
61,0.843478255189873,0.8581388789641761,0.8874601265127822,0.0293212475486061,False,222,0.04714401701942021,3,145,327,0.8193078725183839,
27,0.8434682983125213,0.8511699868337699,0.8665733638762669,0.015403377042497057,False,248,0.04183791120941758,2,156,152,0.6012779904952188,
86,0.8432925437420784,0.8550579559092512,0.8785887802435968,0.023530824334345612,False,226,0.04802296765168437,3,59,438,0.7047729399929427,sqrt
29,0.8432703878450394,0.8510008728293433,0.8664618427979512,0.015460969968607907,False,236,0.04393140873363994,2,165,159,0.715570200657242,
71,0.8432660975995743,0.8558548817455838,0.8810324500376028,0.025177568292019004,False,229,0.037869543484140906,3,125,525,0.7817308902170155,
23,0.8432447641310146,0.851566267029132,0.8682092728253666,0.016643005796234678,False,215,0.04969717030581832,2,53,299,0.6040419595242966,
51,0.8431755161639767,0.8508456370230023,0.8661858787410537,0.015340241718051373,False,217,0.049801491045694604,2,232,341,0.620242958087491,
