trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
173,0.8603195954622607,0.8682857140539644,0.007966118591703708,False,l1,0.4802470668046961
121,0.8603195949016896,0.8682857575260453,0.007966162624355677,False,l1,0.48114267172927144
16,0.8603189066256531,0.8682844406747968,0.007965534049143685,False,l1,0.47656409640808145
82,0.860317868045318,0.8682750728102814,0.007957204764963421,False,l1,0.45820944759895293
111,0.8603171786481395,0.8682851311406695,0.007967952492530017,False,l1,0.4762848251615451
74,0.8603171730424302,0.8683022914674389,0.007985118425008708,False,l1,0.5283323439731199
185,0.8603168328284084,0.8682860163392965,0.007969183510888045,False,l1,0.47783653032437806
116,0.8603168283438409,0.8682914341570601,0.007974605813219182,False,l1,0.49773381965896385
109,0.8603147601523056,0.8682851308784312,0.007970370726125608,False,l1,0.47419660327256397
62,0.8603147562283091,0.8682870524839105,0.007972296255601363,False,l1,0.48425856936180595
103,0.860314410969149,0.8682878727453955,0.007973461776246582,False,l1,0.4847638887213719
191,0.8603144092874361,0.8682727199018316,0.007958310614395558,False,l1,0.45471996501029344
100,0.8603144070451524,0.868301557581933,0.007987150536780563,False,l1,0.5263615384757899
61,0.8603140662705597,0.8682741446553089,0.007960078384749214,False,l1,0.4570845612444255
133,0.8603140651494178,0.8682873762255621,0.007973311076144296,False,l1,0.4840749554597551
152,0.860314064588847,0.8683011693314621,0.007987104742615103,False,l1,0.5330115252376125
52,0.8603140629071341,0.8682909375148489,0.00797687460771479,False,l1,0.4955169783593973
179,0.8603137221325413,0.8682759792554373,0.007962257122896,False,l1,0.45860033528117944
164,0.8603137204508287,0.8682239917220673,0.007910271271238667,False,l1,0.3967916450116754
72,0.8603137193296867,0.8682878943677995,0.007974175038112818,False,l1,0.4850826363034849
42,0.860313717087403,0.8682908513224368,0.007977134235033767,False,l1,0.49511289489125104
194,0.8603133757522393,0.8682809653681318,0.0079675896158925,False,l1,0.4678392033821347
149,0.8603133712676719,0.8682923407333352,0.007978969465663233,False,l1,0.4982925953693362
113,0.8603130310536502,0.868282605523968,0.007969574470317764,False,l1,0.4706446991647134
186,0.86031303105365,0.8682800804317431,0.007967049378093116,False,l1,0.46630407078947106
196,0.8603126829916354,0.8683013204085684,0.007988637416933009,False,l1,0.5336578356045598
