feature_set_name,dataset_scope,ladder_step,model_name,fold,train_row_count,valid_row_count,auc_train,auc_valid,ap_train,ap_valid,brier_train,brier_valid,logloss_train,logloss_valid,train_valid_auc_gap
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,1,18463,4616,0.5,0.5,0.7173807073606673,0.7175043327556326,0.20274562806737592,0.20269188051576534,0.5954101554139164,0.5952949976246648,0.0
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,2,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,3,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,4,18461,4618,0.5,0.5,0.7174584258707546,0.7171935902988307,0.2027118330178136,0.2028270144709839,0.5953377452636809,0.5955845426989129,0.0
conservative_safe_22,overall_without_promotion,L0_dummy_prior,DummyPrior,5,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.2027389731556878,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,1,18463,4616,0.7857205891098284,0.7805904491197653,0.8950594463725025,0.8913596436817646,0.15993969310082934,0.16107956323097222,0.48791549603740664,0.4924231710340068,0.005130139990063176
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,2,18464,4615,0.7838762204050174,0.7869167054232684,0.8928576549088436,0.899992295035885,0.16026008163089547,0.16082769814105294,0.48962198153154907,0.48579936163896775,-0.003040485018251049
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,3,18464,4615,0.7839172808418714,0.7870032129377256,0.8939129146178786,0.8960612853840297,0.16038878263726472,0.15974789163023986,0.48924883139873704,0.4870765785303383,-0.0030859320958541714
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,4,18461,4618,0.7849887068160923,0.7855680258709339,0.895129114987189,0.8911137104005598,0.1601096386365277,0.1596869831050746,0.48824554547969395,0.49112591360406155,-0.0005793190548415428
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,LogisticRegression,5,18464,4615,0.7862869006442177,0.7793195622326026,0.8954743983353006,0.8905909659748108,0.15998946753289986,0.1610158705991086,0.48808369427398685,0.49197958511311807,0.0069673384116151205
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,1,18463,4616,0.8524357347689078,0.805995487685605,0.9364432817955283,0.905258686337119,0.1373469533976778,0.15203385995134588,0.4220072335334975,0.4666625972229735,0.046440247083302744
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,2,18464,4615,0.8531906939861998,0.815782769092799,0.9367163491883677,0.9151328373904141,0.13699376279732678,0.15033781334624272,0.42159229017562533,0.45763984937875796,0.037407924893400835
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,3,18464,4615,0.8432292120904381,0.8172412371477858,0.9306629207397594,0.9120944068842749,0.14140049004725425,0.1485856114688542,0.4342345321830465,0.4561775123578296,0.02598797494265226
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,4,18461,4618,0.8411356756919499,0.814201086031767,0.9293223679338344,0.9094836543287974,0.1416584555957377,0.14922146689345997,0.4353049822991565,0.4589056304006883,0.026934589660182917
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,HistGradientBoosting,5,18464,4615,0.8570135971680045,0.8037579929700776,0.9393153426725265,0.9037771392643673,0.136226364194956,0.15272103769086828,0.41776829351663086,0.4692573894843708,0.053255604197926965
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,1,18463,4616,0.8589175880279678,0.8075821376441125,0.9406822599035287,0.9063421783658975,0.134941852266057,0.15180695170063674,0.41482961518334577,0.4656059472588067,0.05133545038385534
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,2,18464,4615,0.8578180446238695,0.816639969390005,0.9400010099225342,0.9155855130614057,0.1354564279593072,0.1505201323595373,0.41707885632729425,0.4586170667544938,0.04117807523386441
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,3,18464,4615,0.8581070953418715,0.8168507373636493,0.9402314224322431,0.9127844563415004,0.13558877734046096,0.14858861517241803,0.416989438464566,0.45622861168422674,0.041256357978222136
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,4,18461,4618,0.8578535467140048,0.8147573259057046,0.940125979916501,0.9090535093824427,0.135587002456874,0.14885318103612796,0.41681442657587925,0.45849238836615425,0.04309622080830022
conservative_safe_22,overall_without_promotion,L1_conservative_safe_22,RandomForest,5,18464,4615,0.8598333626263911,0.8043065687344471,0.9410933432990276,0.9048095008910324,0.1346651464503774,0.1523955921135956,0.41415518946652496,0.46806635321831047,0.05552679389194404
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,1,18463,4616,0.5,0.5,0.7173807073606673,0.7175043327556326,0.20274562806737592,0.20269188051576534,0.5954101554139164,0.5952949976246648,0.0
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,2,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,3,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.20273897315568784,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,4,18461,4618,0.5,0.5,0.7174584258707546,0.7171935902988307,0.2027118330178136,0.2028270144709839,0.5953377452636809,0.5955845426989129,0.0
conservative_safe_22,overall_with_promotion,L0_dummy_prior,DummyPrior,5,18464,4615,0.5,0.5,0.717396013864818,0.7174431202600217,0.2027389731556878,0.20271849167059822,0.5953958967366435,0.5953520132934798,0.0
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,1,18463,4616,0.7857205891098284,0.7805904491197653,0.8950594463725025,0.8913596436817646,0.15993969310082934,0.16107956323097222,0.48791549603740664,0.4924231710340068,0.005130139990063176
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,2,18464,4615,0.7838762204050174,0.7869167054232684,0.8928576549088436,0.899992295035885,0.16026008163089547,0.16082769814105294,0.48962198153154907,0.48579936163896775,-0.003040485018251049
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,3,18464,4615,0.7839172808418714,0.7870032129377256,0.8939129146178786,0.8960612853840297,0.16038878263726472,0.15974789163023986,0.48924883139873704,0.4870765785303383,-0.0030859320958541714
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,4,18461,4618,0.7849887068160923,0.7855680258709339,0.895129114987189,0.8911137104005598,0.1601096386365277,0.1596869831050746,0.48824554547969395,0.49112591360406155,-0.0005793190548415428
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,LogisticRegression,5,18464,4615,0.7862869006442177,0.7793195622326026,0.8954743983353006,0.8905909659748108,0.15998946753289986,0.1610158705991086,0.48808369427398685,0.49197958511311807,0.0069673384116151205
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,1,18463,4616,0.8524357347689078,0.805995487685605,0.9364432817955283,0.905258686337119,0.1373469533976778,0.15203385995134588,0.4220072335334975,0.4666625972229735,0.046440247083302744
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,2,18464,4615,0.8531906939861998,0.815782769092799,0.9367163491883677,0.9151328373904141,0.13699376279732678,0.15033781334624272,0.42159229017562533,0.45763984937875796,0.037407924893400835
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,3,18464,4615,0.8432292120904381,0.8172412371477858,0.9306629207397594,0.9120944068842749,0.14140049004725425,0.1485856114688542,0.4342345321830465,0.4561775123578296,0.02598797494265226
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,4,18461,4618,0.8411356756919499,0.814201086031767,0.9293223679338344,0.9094836543287974,0.1416584555957377,0.14922146689345997,0.4353049822991565,0.4589056304006883,0.026934589660182917
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,HistGradientBoosting,5,18464,4615,0.8570135971680045,0.8037579929700776,0.9393153426725265,0.9037771392643673,0.136226364194956,0.15272103769086828,0.41776829351663086,0.4692573894843708,0.053255604197926965
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,1,18463,4616,0.8589175880279678,0.8075821376441125,0.9406822599035287,0.9063421783658975,0.134941852266057,0.15180695170063674,0.41482961518334577,0.4656059472588067,0.05133545038385534
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,2,18464,4615,0.8578180446238695,0.816639969390005,0.9400010099225342,0.9155855130614057,0.1354564279593072,0.1505201323595373,0.41707885632729425,0.4586170667544938,0.04117807523386441
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,3,18464,4615,0.8581070953418715,0.8168507373636493,0.9402314224322431,0.9127844563415004,0.13558877734046096,0.14858861517241806,0.416989438464566,0.45622861168422674,0.041256357978222136
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,4,18461,4618,0.8578535467140048,0.8147573259057046,0.940125979916501,0.9090535093824427,0.135587002456874,0.14885318103612796,0.41681442657587925,0.4584923883661542,0.04309622080830022
conservative_safe_22,overall_with_promotion,L1_conservative_safe_22,RandomForest,5,18464,4615,0.8598333626263911,0.8043065687344471,0.9410933432990276,0.9048095008910324,0.1346651464503774,0.1523955921135956,0.4141551894665249,0.46806635321831047,0.05552679389194404
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,1,9523,2381,0.5,0.5,0.6752073926283734,0.6749265014699706,0.21930236956836696,0.2194007979833192,0.6304293496613855,0.6306349150930255,0.0
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,2,9522,2382,0.5,0.5,0.6751732829237556,0.6750629722921915,0.21931432094971395,0.21935296790065886,0.6304543096177466,0.6305350214261367,0.0
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,3,9524,2380,0.5,0.5,0.6751364972700546,0.6752100840336135,0.21932720732397618,0.21930143186794593,0.6304812217683301,0.6304273923306595,0.0
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,4,9523,2381,0.5,0.5,0.6751023837026148,0.6753464930701386,0.21933915522166228,0.21925366695738718,0.6305061735238326,0.6303276430996949,0.0
conservative_safe_22,promotion_only,L0_dummy_prior,DummyPrior,5,9524,2380,0.5,0.5,0.6751364972700546,0.6752100840336135,0.21932720732397623,0.21930143186794593,0.6304812217683301,0.6304273923306594,0.0
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,1,9523,2381,0.7691439154987507,0.7707007777665222,0.8653921001375263,0.8734278674718193,0.17620083007813916,0.17549634867968106,0.52809533044317,0.5214322236557969,-0.0015568622677715194
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,2,9522,2382,0.7724904735488446,0.7586124609510587,0.8706181597872258,0.8522130831050431,0.17500616326199603,0.17952158049394534,0.5231648494880601,0.5409609060855315,0.013878012597785871
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,3,9524,2380,0.769689641618102,0.7720717333850691,0.86641892434548,0.8686004682827653,0.17595345545549387,0.1754454078957112,0.5271053829685348,0.5251953723102267,-0.0023820917669670205
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,4,9523,2381,0.7671539091964005,0.7787236199339653,0.8654652707164384,0.8725105783942134,0.17669700456921236,0.17303236060456212,0.5285000995030462,0.5193433851102816,-0.011569710737564853
conservative_safe_22,promotion_only,L1_conservative_safe_22,LogisticRegression,5,9524,2380,0.771939443321293,0.7583095786464619,0.8684272422303142,0.8611735726455083,0.1751150974523455,0.17905890600831906,0.5248040753456725,0.534771453089758,0.013629864674831182
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,1,9523,2381,0.8771236560356276,0.8015991889488656,0.940418484506362,0.8932837865783382,0.13644470128506056,0.1653544132980869,0.4197801568830363,0.49480492458239744,0.07552446708676197
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,2,9522,2382,0.8789272833547994,0.7857301830640082,0.9420875027496336,0.8689738868079996,0.1358031076870667,0.1698035597305029,0.4159938234426012,0.5183486715221098,0.0931971002907912
conservative_safe_22,promotion_only,L1_conservative_safe_22,HistGradientBoosting,3,9524,2380,0.8767878882621358,0.7981743842229702,0.9409656183578361,0.8868024391832543,0.1364894683865147,0.16565677719055721,0.418729578321716,0.49922155520052947,0.07861350403916567
