feature_set_name,dataset_scope,model_name,12x_oof_auc,14x_oof_auc,delta_auc,12x_oof_ap,14x_oof_ap,delta_ap,12x_brier,14x_brier,delta_brier,12x_train_valid_gap,14x_train_valid_gap,gap_change,interpretation
conservative_safe_22,nonpromotion_only,RandomForest,0.8317561426310531,0.8324202717876626,0.0006641291566095164,0.9341116120897678,0.9343861346830449,0.0002745225932770934,0.1305271384083802,0.13045123288124594,-7.59055271342679e-05,0.0451279337753126,0.03822930480707365,-0.006898628968238951,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,nonpromotion_only,HistGradientBoosting,0.8284844345419661,0.8316412473586022,0.0031568128166361564,0.931425722623196,0.9333267468570949,0.0019010242338989292,0.1310042010411132,0.13044250117480452,-0.0005616998663086903,0.0748125696451712,0.03691811813024848,-0.037894451514922725,AUC improved modestly without large recorded gap increase; still not final model
conservative_safe_22,overall_with_promotion,LightGBM,0.8122084808379524,0.8135833554799783,0.0013748746420259028,0.9099253911066856,0.9106241369109278,0.000698745804242229,0.1502236365315032,0.14981045522716954,-0.0004131813043336541,0.0401420883996366,0.0584839920685033,0.018341903668866698,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,overall_with_promotion,CatBoost,0.8075074051657329,0.8146787554843158,0.0071713503185828475,0.9085569196498682,0.9116646288513763,0.0031077092015081575,0.1522614884894423,0.14942290222059854,-0.002838586268843757,0.0045747429289404,0.0537767521136453,0.049202009184704895,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,overall_without_promotion,LightGBM,0.8122084808379524,0.8135833554799783,0.0013748746420259028,0.9099253911066856,0.9106241369109278,0.000698745804242229,0.1502236365315032,0.14981045522716954,-0.0004131813043336541,0.0401420883996366,0.0584839920685033,0.018341903668866698,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,overall_without_promotion,CatBoost,0.8075074051657329,0.8146787554843158,0.0071713503185828475,0.9085569196498682,0.9116646288513763,0.0031077092015081575,0.1522614884894423,0.14942290222059854,-0.002838586268843757,0.0045747429289404,0.0537767521136453,0.049202009184704895,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,promotion_only,LightGBM,0.7966613650295107,0.7972434768739447,0.000582111844434019,0.8859672996184562,0.8857645544038488,-0.0002027452146073916,0.1661390682042161,0.1659304802659243,-0.00020858793829178768,0.067952513937078,0.08422704321039098,0.01627452927331298,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
conservative_safe_22,promotion_only,HistGradientBoosting,0.7962775698726465,0.795787754843057,-0.0004898150295895576,0.884589156582684,0.8849453264506089,0.0003561698679248604,0.1663433799994572,0.16636978671432665,2.640671486944801e-05,0.0724763580809474,0.05860048060304579,-0.013875877477901616,No AUC improvement over 12x fixed-parameter baseline
expanded_feature_set,nonpromotion_only,LightGBM,0.8838334084860703,0.887121804903495,0.0032883964174247327,0.9576164591974304,0.9592073571020568,0.0015908979046264093,0.1125003325997429,0.11122869691185815,-0.0012716356878847562,0.0704967274381562,0.04792593417642088,-0.02257079326173532,AUC improved modestly without large recorded gap increase; still not final model
expanded_feature_set,nonpromotion_only,HistGradientBoosting,0.8829672731934608,0.8865504893769396,0.003583216183478788,0.9571291786074392,0.9594007939010522,0.002271615293612972,0.112659792590943,0.11165395698163501,-0.0010058356093079895,0.0754187479645962,0.04397623861902644,-0.03144250934556976,AUC improved modestly without large recorded gap increase; still not final model
expanded_feature_set,overall_with_promotion,LightGBM,0.877345643626692,0.8796895161700327,0.002343872543340675,0.947321441034408,0.9483681218940759,0.00104668085966797,0.1258797114904221,0.12479075721039978,-0.001088954280022314,0.0424048378230198,0.0493342516193056,0.0069294137962858035,AUC improved modestly without large recorded gap increase; still not final model
expanded_feature_set,overall_with_promotion,CatBoost,0.8676213912567694,0.8806719465231176,0.01305055526634824,0.9430863536160043,0.9491673470871514,0.0060809934711471,0.132920092679013,0.12477451579586274,-0.008145576883150263,0.0058389697275407,0.04643378578321122,0.04059481605567052,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
expanded_feature_set,overall_without_promotion,LightGBM,0.8732836581727084,0.8755757548885096,0.0022920967158012173,0.9453621470493044,0.9462202377485014,0.0008580906991969561,0.1275939731586012,0.12659700574605726,-0.000996967412543931,0.043617092712235,0.0588458690867385,0.015228776374503497,AUC improved modestly without large recorded gap increase; still not final model
expanded_feature_set,overall_without_promotion,HistGradientBoosting,0.8719516553234914,0.8743288381246856,0.0023771828011942553,0.9448027846114638,0.9459818131722159,0.0011790285607520268,0.1282369172159994,0.12723655789366278,-0.001000359322336608,0.0456700535859402,0.048326119953232216,0.002656066367292015,AUC improved modestly without large recorded gap increase; still not final model
expanded_feature_set,promotion_only,LightGBM,0.8616083346613972,0.8633552171864554,0.0017468825250581688,0.930259578248636,0.9310075655459173,0.0007479872972813162,0.1407486340383134,0.14030194266183746,-0.0004466913764759328,0.073339986307509,0.10090394945514114,0.02756396314763214,"AUC improved slightly; inspect AP, Brier, and train-valid gap before reuse"
expanded_feature_set,promotion_only,HistGradientBoosting,0.8604088460922539,0.8626214760096333,0.0022126299173794717,0.9291506788959412,0.9305986856029086,0.0014480067069674307,0.1412171347002439,0.14013837491484257,-0.0010787597854013398,0.0781020864775225,0.09317613975041306,0.015074053272890561,AUC improved modestly without large recorded gap increase; still not final model
