cohort_name,cohort_name_kr,is_promotion,is_repurchase,feature_name,n,mean,std,min,q05,q10,q25,median,q75,q90,q95,max,zero_rate,positive_rate,top_1pct_share_of_total,distribution_note
nonpromotion_repurchase,비프로모션 재구매,0,1,is_only_w2,8520,0.0795774647887324,0.2706538189532186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9204225352112676,0.0795774647887324,0.12684365781710916,2x2 descriptive distribution only
nonpromotion_repurchase,비프로모션 재구매,0,1,is_only_w3,8520,0.09683098591549295,0.2957448426069288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.903169014084507,0.09683098591549295,0.10424242424242425,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,avg_gap_w1_watch_days,2655,0.6051475197740113,1.173616431580025,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,0.696045197740113,0.303954802259887,0.1008298756232675,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,avg_gap_w2_watch_days,2655,0.39950408097928436,0.9840521999799179,0.0,0.0,0.0,0.0,0.0,0.0,1.666667,2.5,6.0,0.8033898305084746,0.19661016949152543,0.14047547942289487,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,avg_gap_w3_watch_days,2655,0.21729441318267417,0.8081944360371742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766666899999909,6.0,0.9020715630885122,0.09792843691148775,0.25826953617895737,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,is_cold_start_3d,2655,0.45875706214689266,0.4983899844532115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5412429378531074,0.45875706214689266,0.022167487684729065,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,is_cold_start_7d,2655,0.7182674199623352,0.4499284168686037,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.28173258003766477,0.7182674199623352,0.01415836392239119,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_time(min)_w1,2655,89.55291902071563,127.28499953188434,0.0,0.0,0.0,0.0,38.0,129.0,239.0,341.8999999999992,1169.0,0.303954802259887,0.696045197740113,0.080117596093589,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_time(min)_w2,2655,46.387947269303204,88.2239571874946,0.0,0.0,0.0,0.0,1.0,67.0,145.0,216.29999999999973,1116.0,0.47909604519774013,0.5209039548022599,0.11595485547255603,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_time(min)_w3,2655,23.42674199623352,60.724951889307036,0.0,0.0,0.0,0.0,0.0,6.0,93.0,129.29999999999973,902.0,0.6312617702448211,0.3687382297551789,0.17679025049036948,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_session_w1,2655,2.2290018832391714,2.74697661129664,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,38.0,0.303954802259887,0.696045197740113,0.07063197026022305,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_session_w2,2655,1.3175141242937853,2.021860148512579,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,20.0,0.47909604519774013,0.5209039548022599,0.09805603201829617,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,watch_session_w3,2655,0.7777777777777778,1.4156633857441472,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,13.0,0.6312617702448211,0.3687382297551789,0.10653753026634383,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,retention_w2_ratio,2655,8.450284304331449,36.85343299924384,0.000933,0.005672400000000001,0.008881600000000003,0.058824,0.6375,1.1658335,5.0,43.0,530.0,0.0,1.0,0.355597079769887,2x2 descriptive distribution only
nonpromotion_nonrepurchase,비프로모션 미재구매,0,0,retention_w3_ratio,2655,6.434166180414313,28.021438960044414,0.001314,0.007674600000000001,0.012628400000000012,0.168385,1.0,1.0,3.0,33.29999999999973,413.0,0.0,1.0,0.33946602088225936,2x2 descriptive distribution only
