trial,mean_valid_auc,mean_train_auc,gap,overfit,kernel,C,gamma,degree
142,0.8382107979695903,0.867011394396487,0.028800596426896696,False,rbf,56.335102136091514,0.0006376552103719719,
197,0.8382104259510296,0.8664585117376629,0.028248085786633292,False,rbf,59.92375999742995,0.0006055745619816675,
198,0.8382101536403755,0.8669987290260621,0.028788575385686577,False,rbf,60.660958819276864,0.0006142693651261543,
195,0.8381998205887207,0.8670317481929717,0.028831927604251018,False,rbf,72.74629017078132,0.0005612334365800163,
183,0.8381978383879474,0.866415086580241,0.028217248192293654,False,rbf,77.37803072110216,0.0005306407126335222,
186,0.8381958332340819,0.8663060118755859,0.028110178641504002,False,rbf,73.05040547343022,0.000544867194957907,
196,0.8381865188353356,0.8645992867217889,0.026412767886453303,False,rbf,59.951068721330884,0.0005645075843540597,
126,0.8381810234133973,0.8643822541138668,0.026201230700469536,False,rbf,32.13998531641483,0.0007676562176408424,
194,0.8381697918437098,0.8667467382412439,0.028576946397534164,False,rbf,70.86484978579905,0.0005629774284779875,
199,0.838167506746246,0.8655077534852881,0.027340246739042118,False,rbf,53.835958465265705,0.0006186144001137988,
181,0.8381512981163664,0.864923708976929,0.0267724108605627,False,rbf,80.06104160412978,0.0004947727002572276,
192,0.8381485152313999,0.865056557348885,0.026908042117485098,False,rbf,75.43002275961751,0.0005130827917076072,
165,0.8381383880093389,0.8644175507156051,0.02627916270626618,False,rbf,76.42959625837308,0.0004962089847320671,
191,0.8381372466452858,0.8675713981387968,0.02943415149351103,False,rbf,75.72322150800939,0.0005620176746750135,
182,0.8381369521217069,0.8651945725014981,0.027057620379791203,False,rbf,76.74124473018078,0.000510169328426029,
167,0.8381307118460745,0.8642907313566237,0.02616001951054925,False,rbf,70.80394574902057,0.000513563187941041,
134,0.8381263803503962,0.8636993954312165,0.025573015080820327,False,rbf,30.997590327459275,0.0007624237891764176,
185,0.8381256577811284,0.8683325693773828,0.030206911596254438,True,rbf,78.82644668027731,0.000566829579585773,
149,0.838091912976242,0.8639048499490499,0.025812936972807954,False,rbf,52.20317818943336,0.000590715865328876,
120,0.838091813224042,0.8653133227875056,0.027221509563463586,False,rbf,13.032582739003487,0.001261174927223341,
168,0.8380610215621889,0.863521183415291,0.02546016185310218,False,rbf,69.5988772990417,0.0005036371351603609,
156,0.8380603265752615,0.864084130100632,0.02602380352537048,False,rbf,96.7261037134488,0.0004354757997916386,
166,0.8380567188800374,0.863729721515633,0.025673002635595576,False,rbf,75.92839226607617,0.0004855067243862696,
171,0.8380543377234584,0.8636823059527611,0.02562796822930269,False,rbf,75.87408256820488,0.00048476448462619887,
190,0.8380527029701946,0.8637053043897043,0.025652601419509646,False,rbf,74.62559868728768,0.0004900272462045518,
135,0.8380519103870279,0.8689779159695199,0.030926005582492033,True,rbf,48.110191210887905,0.000744190023754107,
138,0.8380334890603416,0.8633467205123286,0.02531323145198705,False,rbf,75.7344231168273,0.00048005735596989173,
157,0.8380312841328387,0.8639670840200869,0.025935799887248256,False,rbf,99.90905216172995,0.00042622840485501525,
114,0.8380108456659763,0.8657783293479463,0.027767483681970018,False,rbf,12.211731061631665,0.0013256987943422692,
158,0.8379941018431799,0.8635305380577426,0.025536436214562697,False,rbf,98.8882325037059,0.00042203730241700073,
175,0.837991329413095,0.8624877976517086,0.024496468238613622,False,rbf,63.474968707965076,0.0005074566259927111,
144,0.8379905984838452,0.8624531475692416,0.024462549085396468,False,rbf,33.10221598757547,0.0007033785380532262,
187,0.8379890099552005,0.8692688490501395,0.03127983909493892,True,rbf,78.1456041651521,0.0005904675922772314,
154,0.8379867417210198,0.8628877558246536,0.024901014103633767,False,rbf,86.1123491342537,0.0004421430251847935,
153,0.8379762063183511,0.862723798509949,0.024747592191597834,False,rbf,81.90620106206907,0.0004512051549333681,
52,0.8379756572590455,0.8621449539605976,0.0241692967015521,False,rbf,28.263709694340918,0.000755233721805367,
176,0.837970351413554,0.8622826639045253,0.024312312490971322,False,rbf,60.48949462639706,0.000516494253874152,
155,0.8379434148559127,0.8625454494137182,0.02460203455780552,False,rbf,89.05286839559707,0.0004290657055255094,
129,0.837905807396919,0.860322970913949,0.022417163517030048,False,rbf,25.284441415337067,0.0007393162722526508,
130,0.8379051482184859,0.8607299504301646,0.022824802211678707,False,rbf,28.9116946630542,0.0007021095621358266,
174,0.8379046614903054,0.8616429931177694,0.02373833162746397,False,rbf,53.675775024002924,0.0005337039759617027,
146,0.8378853719742493,0.8595700436029592,0.021684671628709906,False,rbf,35.46230020267635,0.0006010043721095343,
143,0.8378763163992635,0.8596821114186538,0.021805795019390284,False,rbf,32.673031277156284,0.0006299846974134577,
128,0.837867513087617,0.8612186056808626,0.023351092593245637,False,rbf,30.040329855917786,0.0007032010551667111,
145,0.8378639038552682,0.8592091586393551,0.021345254784086887,False,rbf,31.34296859407077,0.0006308065478177961,
137,0.8378623854194591,0.8609994154177402,0.023137029998281045,False,rbf,31.304612763552466,0.0006827367115557781,
123,0.8378565559723633,0.8589654156348046,0.02110885966244125,False,rbf,19.472909441432574,0.0007931533129785025,
151,0.8378502447691313,0.8602592113722238,0.02240896660309255,False,rbf,41.00139178828739,0.0005775401526579824,
188,0.8378333333956757,0.8593231306019767,0.021489797206301064,False,rbf,42.87787534093179,0.0005407160686998774,
104,0.8378307473662309,0.8633887676338257,0.025558020267594794,False,rbf,6.450112350177007,0.0016878710379676467,
172,0.837827381459849,0.859647689686765,0.02182030822691594,False,rbf,52.50483981909776,0.0004951623393211482,
152,0.8378184207039334,0.8588379674479947,0.021019546744061257,False,rbf,28.882981411851937,0.0006481283169191092,
122,0.8378183968222709,0.8697743027721268,0.03195590594985587,True,rbf,13.569037229598932,0.001446745549185266,
161,0.83780630358393,0.8590397031677043,0.021233399583774237,False,rbf,66.84861477109419,0.0004264361546983608,
140,0.8378047060541626,0.8588608523371523,0.021056146282989685,False,rbf,51.94309923218111,0.00048085493666003926,
35,0.8377956951279153,0.863497910777151,0.025702215649235693,False,rbf,5.903539783651316,0.0017731896822454681,
124,0.8377771922045598,0.8581890725700422,0.02041188036548236,False,rbf,18.930261769664792,0.0007774662890741125,
163,0.8377738987594219,0.8592550969084403,0.021481198149018388,False,rbf,99.83008864808211,0.0003518077615308,
54,0.8377710784671433,0.8632786584775317,0.025507580010388442,False,rbf,5.943719475897797,0.0017546264076352773,
91,0.837752774863264,0.8618994457906171,0.02414667092735301,False,rbf,6.17603127823406,0.0016271916044659444,
116,0.8377510771185938,0.8581042252506723,0.020353148132078558,False,rbf,13.93113195195545,0.0009065186178888985,
42,0.8377401746787416,0.8606423968349926,0.02290222215625093,False,rbf,6.399462965941195,0.0015193055314896835,
141,0.8377332303644387,0.8581363567610396,0.020403126396600912,False,rbf,44.101872616999835,0.0005055016942450898,
103,0.8377328381090523,0.8613476525690856,0.02361481446003333,False,rbf,5.99422701397224,0.00162130354596121,
131,0.8377235502297731,0.8718208195237367,0.03409726929396362,True,rbf,61.18550657194317,0.0007296643855974393,
164,0.8376373522138012,0.8569655240830271,0.019328171869225863,False,rbf,56.695687042442124,0.0004197592655311972,
43,0.837613469727688,0.859627896931163,0.022014427203475018,False,rbf,6.102130325530443,0.001495373435114485,
70,0.8375836756365546,0.8670269596620832,0.02944328402552865,False,rbf,5.9777109757716955,0.002003258813995356,
62,0.837572936726351,0.8624060804375558,0.02483314371120482,False,rbf,4.479145935505433,0.0019683738815665214,
121,0.8375600783788242,0.8730285659495868,0.0354684875707626,True,rbf,23.55127057441418,0.0012284466261877844,
36,0.8375568918096192,0.8597389481328179,0.022182056323198696,False,rbf,5.4098499874042805,0.0016000073338245412,
173,0.8375537752002128,0.85663620777933,0.019082432579117237,False,rbf,72.72591695642002,0.0003637298316975188,
127,0.8375506040924187,0.856743844122677,0.01919324003025835,False,rbf,35.00465895698401,0.0005311852890172006,
61,0.8375019540048964,0.8599145530973569,0.022412599092460517,False,rbf,5.029290245626548,0.001673828947188373,
179,0.8374022893957676,0.8557294986143317,0.018327209218564122,False,rbf,97.30836129087704,0.0002997798425220437,
57,0.8373551583953196,0.8581556104517738,0.0208004520564542,False,rbf,5.658846324364908,0.0014580094067274017,
65,0.8373372291111792,0.8570025866470274,0.019665357535848194,False,rbf,6.809913950718117,0.0012542567013915547,
159,0.83731521212794,0.8553747093759666,0.01805949724802658,False,rbf,98.28229232639974,0.00029219079188667885,
102,0.8372966866112147,0.8742218397402761,0.03692515312906142,True,rbf,8.15611806749947,0.0021707333144892265,
180,0.837286139834902,0.8553576837535335,0.018071543918631527,False,rbf,62.49430580321132,0.0003679298953526897,
113,0.8372783260443605,0.8746489828802275,0.037370656835867044,True,rbf,8.211259123369407,0.002196558715410655,
81,0.8372729779031942,0.8578562863061897,0.020583308402995493,False,rbf,5.163145304167978,0.0015122687483613863,
133,0.8372723258799741,0.8552307179364427,0.017958392056468542,False,rbf,24.005527498437814,0.0005967928450424998,
111,0.837218946150422,0.8582137311770289,0.0209947850266069,False,rbf,4.729831681482319,0.0016096203220068376,
17,0.8371870944343881,0.8547190705462242,0.0175319761118361,False,rbf,17.22395079981699,0.0006886312375596722,
48,0.8371780761854051,0.8767048999167149,0.03952682373130978,True,rbf,37.699741837624316,0.001095727089151779,
117,0.8371682402324971,0.8552209413964261,0.018052701163928986,False,rbf,12.859742678615282,0.0008226927904159374,
41,0.8371567636886702,0.8566548347358376,0.019498071047167387,False,rbf,5.622052924986215,0.0013686158187276273,
193,0.8371560474574103,0.8764764681026544,0.0393204206452441,True,rbf,57.751130988186006,0.0008827569968493295,
83,0.8371347451516968,0.8703888297806515,0.03325408462895463,True,rbf,4.459065479231847,0.002628319545970321,
67,0.8371307700684255,0.8553703083785201,0.018239538310094616,False,rbf,9.978840876374178,0.0009486613337290085,
21,0.8371281819717644,0.8625568798805145,0.02542869790875013,False,rbf,2.795037501026295,0.0025583577825444947,
44,0.8371004107402953,0.8547415744982377,0.017641163757942446,False,rbf,13.71693461624075,0.0007753376801928418,
88,0.8369989523095057,0.8776115766243681,0.040612624314862344,True,rbf,9.189556231885552,0.002268405169073286,
60,0.8369494927168454,0.8545277501112993,0.017578257394453956,False,rbf,10.9365663061187,0.0008639032611954136,
72,0.8369233711944778,0.8765865937927557,0.039663222598277925,True,rbf,6.603505663475982,0.0026040282158198043,
84,0.8369099361497808,0.8579242883467455,0.02101435219696468,False,rbf,3.5632330663597744,0.001850606808479517,
55,0.8369082346462189,0.8593097749802224,0.022401540334003545,False,rbf,3.105706610096885,0.0021139729051920615,
150,0.8368483908509573,0.8521136344467737,0.01526524359581638,False,rbf,53.25646947539309,0.00033391955804648013,
170,0.8368021931151117,0.8517829814835325,0.014980788368420761,False,rbf,69.81665419671145,0.0002854851481982437,
189,0.8368005199724975,0.8520066626911154,0.015206142718617865,False,rbf,51.19314352048885,0.0003377868064765326,
110,0.836744404321025,0.8696636013296338,0.03291919700860879,True,rbf,2.486026788949607,0.003506442765290678,
63,0.8367379125214299,0.8660064273939391,0.029268514872509144,False,rbf,2.0811802030351867,0.003421348787646979,
112,0.836732290336173,0.8569351899755151,0.020202899639342076,False,rbf,3.4187660239169375,0.001816241786248656,
148,0.8367302299812434,0.8518664682244121,0.015136238243168787,False,rbf,36.8953113154209,0.00039713250242395494,
80,0.8367203916778022,0.8523087122308605,0.015588320553058255,False,rbf,27.387402860353117,0.0004735251368526836,
64,0.8366414107585072,0.8576156391792795,0.020974228420772345,False,rbf,2.7524402859430785,0.0021037509079502117,
136,0.836638855009794,0.8512404299429889,0.014601574933194916,False,rbf,46.17711351686952,0.0003408684069503628,
101,0.8365900406268294,0.8543977942904639,0.017807753663634518,False,rbf,5.376692138235734,0.001247810668602167,
96,0.8365677687095431,0.8519171042236693,0.015349335514126206,False,rbf,21.584248679064473,0.0005230598853004484,
82,0.8365168694828563,0.8534022771088008,0.016885407625944482,False,rbf,6.053935928262513,0.0011105816017481708,
19,0.8364943005231449,0.8671935154306762,0.030699214907531358,True,rbf,1.809172804197634,0.0038511022449590855,
160,0.8364875135159607,0.850046538484478,0.013559024968517241,False,rbf,81.59957806275693,0.00023645645404704054,
51,0.8364178596750662,0.881201658871883,0.04478379919681674,True,rbf,52.15000284261552,0.0010739175902458526,
132,0.8364058871954994,0.8506938948191791,0.014288007623679766,False,rbf,28.580322225201407,0.00042052247729276303,
178,0.8364035267898607,0.8807639870947419,0.044360460304881166,True,rbf,69.86259096151433,0.0009217182872103512,
59,0.8363462434752253,0.8503017853072314,0.013955541832006091,False,rbf,28.721126980962985,0.00040916378733649335,
74,0.8362977266190615,0.8532527265110558,0.016954999891994227,False,rbf,4.56828311215984,0.001285218912157894,
100,0.8362323102126595,0.8541574523827004,0.01792514217004082,False,rbf,3.791571166617421,0.0014947377482015748,
77,0.8362155584408569,0.8513100787443015,0.015094520303444603,False,rbf,9.20287189250814,0.0007887462067146459,
85,0.8361189192532972,0.8836250940229607,0.04750617476966357,True,rbf,7.89247000433879,0.002892536048991234,
106,0.8360854995645116,0.8576535430426281,0.021568043478116472,False,rbf,1.895153560195515,0.002607738985090828,
53,0.8360559650830227,0.8505234519775409,0.014467486894518156,False,rbf,11.7357933046722,0.0006605856944275211,
107,0.8360258143091371,0.8503853420151071,0.014359527705969932,False,rbf,10.500077902812622,0.0006972413009353624,
115,0.8359154528962849,0.8854588192829814,0.04954336638669654,True,rbf,44.915942741111614,0.0013086396249876126,
75,0.8358580293624426,0.8864848051554315,0.05062677579298891,True,rbf,18.803987682717707,0.002045616378254225,
76,0.8358471029869854,0.8789326164443736,0.0430855134573882,True,rbf,2.4844857288095823,0.004617214147954434,
22,0.83583779778868,0.8568052165042946,0.020967418715614694,False,rbf,1.6076687514543662,0.0027623186754223935,
139,0.8355719922673961,0.8462921564669212,0.01072016419952515,False,rbf,71.89131570260544,0.00018758716122929656,
13,0.8355342399116996,0.8507538067462754,0.015219566834575815,False,rbf,3.6349710784628972,0.001276800937814675,
24,0.8354699594785797,0.8464023173897924,0.01093235791121272,False,rbf,34.56168684384461,0.0002804227939988178,
25,0.8352524666016666,0.8535792381583047,0.01832677155663809,False,rbf,1.4408761984432696,0.002547338341848223,
31,0.8351437302213529,0.8525897547157335,0.017446024494380596,False,rbf,1.4642963535464006,0.0023965243002989087,
118,0.8350521099642894,0.8468429121993651,0.011790802235075781,False,rbf,9.540599972808243,0.0005877342715214127,
105,0.8350330185444326,0.8884755318599595,0.05344251331552696,True,rbf,87.96113677484139,0.0010328098141016478,
162,0.835020177579682,0.8447191018669032,0.009698924287221189,False,rbf,85.89541332120892,0.00014807706852028147,
109,0.835001598733587,0.8455642265245622,0.010562627790975165,False,rbf,16.401252355929728,0.0003943873139844607,
89,0.8349863882666873,0.8474133077736605,0.012426919506973277,False,rbf,5.018823301832817,0.0008735300813100502,
97,0.8348628100896439,0.8471644353398302,0.012301625250186299,False,rbf,4.296467756295247,0.000940959702544445,
15,0.8347681547279351,0.8457147562657312,0.010946601537796141,False,rbf,8.44904427530929,0.0005798778233099783,
93,0.8345870838488297,0.8456683376637096,0.011081253814879899,False,rbf,5.972546977428444,0.000703406296023184,
94,0.8344656392804879,0.8470148000757565,0.012549160795268577,False,rbf,3.0018827721267702,0.0011492683216622372,
125,0.8344561128332563,0.8438588563340153,0.009402743500758981,False,rbf,18.158527405878782,0.00031973357375850284,
56,0.8344302330078233,0.8549820019945018,0.020551768986678542,False,rbf,0.7762799668182936,0.003980360023931971,
14,0.834388229724255,0.8454401112427913,0.01105188151853631,False,rbf,4.576245777021999,0.0008084273635947204,
169,0.8333559339005088,0.8409424172294424,0.007586483328933635,False,rbf,64.92524033960764,0.00010601673452449184,
108,0.8332682050623565,0.9017259796513137,0.06845777458895719,True,rbf,6.5697313774133095,0.004678177700750765,
68,0.8331445206185666,0.9001220524900566,0.06697753187149003,True,rbf,14.522956073117626,0.0031242762567814724,
78,0.8330081508828927,0.8953236319375231,0.06231548105463036,True,rbf,1.668637295918293,0.008241607301632526,
12,0.8324707651750917,0.8414474754531298,0.008976710278038147,False,rbf,2.5632325221537604,0.0008433492996539155,
73,0.8320654891339732,0.8397122371063818,0.007646747972408607,False,rbf,3.2402655912791483,0.0006196104526231492,
66,0.831668960987509,0.910456835232304,0.07878787424479505,True,rbf,3.9093467411791583,0.0069830293412862085,
45,0.8315201058194852,0.9021763259177071,0.07065622009822192,True,rbf,61.01443288628398,0.0017068881178921417,
95,0.8311019259120606,0.8441265395702594,0.013024613658198847,False,rbf,0.4920884932930105,0.0031282620621162394,
39,0.8310898362723653,0.8379558998107436,0.006866063538378264,False,rbf,3.5655799756460347,0.00047946093598908704,
27,0.8307993121663305,0.8371883534958062,0.006389041329475709,False,rbf,5.2792926925127786,0.0003253936197205393,
20,0.8306512653605278,0.8447557262974963,0.014104460936968488,False,rbf,0.3671446437360412,0.00401627903962235,
90,0.8303248061629865,0.9144168426540235,0.08409203649103691,True,rbf,15.555245297308455,0.003924431058675401,
33,0.830071442998031,0.8380562363042395,0.007984793306208493,False,rbf,1.2517827952545426,0.0010267807909062313,
37,0.8286836735485175,0.9115060546677387,0.08282238111922124,True,rbf,97.19713899385754,0.001701057788208815,
50,0.8269706980315512,0.8321807002240721,0.0052100021925208795,False,rbf,4.097185375272911,0.0002057772728985253,
16,0.8246455921286027,0.9353507010042291,0.11070510887562646,True,rbf,14.651339401605721,0.005557455675581425,
30,0.8230938729656723,0.9339107631497588,0.11081689018408658,True,rbf,41.763416552447374,0.003549645051898526,
71,0.82024294500499,0.8257750099820808,0.0055320649770908,False,rbf,0.18082751794973498,0.0017963070077096912,
87,0.8200911531364323,0.8242628256947799,0.0041716725583476055,False,rbf,1.171884710804401,0.00027110187405908243,
32,0.8199163825021618,0.9551162414834504,0.1351998589812886,True,rbf,2.1647163816699546,0.017830110493622573,
34,0.8169537825946902,0.8207896802112344,0.003835897616544237,False,rbf,0.32824093757633693,0.0005952776574316291,
40,0.8160677072703045,0.9547320024924524,0.13866429522214785,True,rbf,24.65469860273835,0.005872783017432265,
4,0.814532325597687,0.8793727573324418,0.06484043173475484,True,rbf,0.14618962793704965,0.0280163515871626,
26,0.8144614359204196,0.8872454953187046,0.07278405939828492,True,poly,0.6295058389589252,0.009546218978953061,3.0
9,0.813415665980514,0.8168503416078072,0.003434675627293271,False,rbf,0.9565499215943827,0.00013726318898045882,
23,0.8117782536935483,0.9696212026992388,0.1578429490056905,True,rbf,7.512604356889196,0.012097483091623703,
92,0.8115542306250003,0.8155301684501172,0.003975937825116849,False,rbf,0.06849905332388102,0.0016025674654812506,
3,0.8102317747832819,0.8141361395552236,0.0039043647719416708,False,rbf,0.05415244119402541,0.0016480446427978971,
11,0.8091993812922693,0.8124206481527374,0.003221266860468086,False,rbf,0.6283524393459887,0.00011544608204846167,
58,0.8083872400206313,0.8688736015939671,0.060486361573335756,True,poly,7.155278085343417,0.005349536159619523,2.0
29,0.8027865464098738,0.9020265456707343,0.09923999926086047,True,poly,17.375090925370518,0.009702801608740496,2.0
99,0.7972720265211847,0.8346441181919854,0.03737209167080069,True,poly,7.191578317972084,0.0019174251402499089,3.0
177,0.7969339610295695,0.831102704007878,0.03416874297830852,True,poly,47.19319020191027,0.0001960117651688056,3.0
47,0.7963442707851021,0.832470683195972,0.03612641241086989,True,poly,19.806988721290693,0.0004666336424237502,3.0
86,0.7961386843157732,0.8325165347047196,0.036377850388946475,True,poly,2.2033976836417315,0.0013823975167311434,3.0
8,0.7945706490188607,0.943939754460654,0.14936910544179338,True,rbf,0.024586032763280065,0.054567254856014755,
79,0.7940068213630586,0.9871931556217097,0.19318633425865117,True,rbf,12.85451975296622,0.016614672326178203,
0,0.7929131459090134,0.9149873875620337,0.12207424165302028,True,poly,8.471801418819979,0.024810409748678097,2.0
1,0.79035371210349,0.9876183164106515,0.19726460430716142,True,rbf,29.154431891537552,0.02537815508265665,
98,0.7877879129557526,0.9860475021525115,0.1982595891967589,True,rbf,11.109469000737674,0.04700169291637313,
28,0.771147588566355,0.9841417319456237,0.2129941433792687,True,rbf,11.349835828662881,0.07502721191497454,
6,0.7691040877674019,0.7847166273562476,0.015612539588845675,False,poly,2.342384984711291,0.00015339162591163628,3.0
147,0.7674956215222137,0.7945265157134909,0.027030894191277133,False,poly,72.9642382549189,0.00025222897021983217,2.0
10,0.7662030746895833,0.7925830820825394,0.026380007392956095,False,poly,0.1019353965595141,0.0017012841103468594,2.0
69,0.7656512356051428,0.8656329026218058,0.099981667016663,True,poly,1.0149241384710943,0.005109646755668597,4.0
5,0.7649451272866453,0.8642298020214243,0.09928467473477898,True,poly,0.2920433847181412,0.006672367170464205,4.0
119,0.7591243134710803,0.847102659415779,0.08797834594469867,True,poly,34.24792990708403,0.000993692379948741,4.0
2,0.7005314630232103,0.9854420714174659,0.2849106083942555,True,rbf,75.7947995334801,0.21368329072358744,
49,0.6790650267945467,0.9923269411445579,0.31326191435001116,True,rbf,0.011417622534468682,0.29607240812830055,
18,0.6669874201514245,0.7055206081688821,0.03853318801745753,True,poly,22.522520087709005,0.00036102038078230443,4.0
184,0.6137385388045178,0.791198500635328,0.17745996183081025,True,rbf,81.3555486123355,0.23779369223286514,
38,0.5861678604965507,0.602319174476269,0.016151313979718362,False,poly,7.930617524893162,0.0002227702038756902,4.0
7,0.5224229806448297,0.5953334596691222,0.07291047902429248,True,rbf,62.451395747430766,0.7286653737491037,
46,0.5178979009556064,0.5976841043701209,0.07978620341451448,True,rbf,8.936788483044646,0.9769656942728058,
