trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_C,param_class_weight
0,0.8346471368744066,0.8378490736220099,0.8442529471172163,0.006403873495206436,False,0.03148911647956861,
1,0.8345722069059347,0.8380881779914032,0.8451201201623402,0.0070319421709369445,False,0.24810409748678125,
2,0.8224403251638814,0.8247949332841651,0.8295041495247325,0.004709216240567415,False,0.0017073967431528124,
3,0.834901735601008,0.8384580922953319,0.8455708056839797,0.007112713388647829,False,0.679657809075816,balanced
4,0.8343186223382666,0.8379130378836777,0.8451018689744998,0.007188831090822134,False,2.1368329072358767,
5,0.8311509628366434,0.8339145565537333,0.8394417439879132,0.005527187434179903,False,0.00541524411940254,balanced
6,0.8351949051245335,0.8385192777912795,0.8451680231247716,0.006648745333492023,False,0.05342937261279776,balanced
7,0.8291351940565803,0.831786774746498,0.8370899361263333,0.0053031613798353305,False,0.003613894271216527,balanced
8,0.8348707300417395,0.8382154038450373,0.844904751451633,0.006689347606595675,False,0.06672367170464207,
9,0.8347351401934793,0.8381773245844363,0.8450616933663502,0.0068843687819138966,False,0.11400863701127326,
10,0.834751953191894,0.8383591279897111,0.8455734775853454,0.007214349595634273,False,6.033178530661212,balanced
11,0.8349113950724112,0.8384627460141477,0.8455654478976209,0.0071027018834731726,False,0.621122638933833,balanced
12,0.8345813879653202,0.8377365987672043,0.8440470203709725,0.006310421603768157,False,0.021206551805691223,balanced
13,0.8349146332964057,0.8384652714743785,0.8455665478303244,0.007101276355945818,False,0.5946673389763796,balanced
14,0.8349855905310863,0.838508187438815,0.8455533812542722,0.007045193815457207,False,0.33297675785747766,balanced
15,0.8338306384817695,0.8368772696942866,0.8429705321193206,0.006093262425034052,False,0.013275283883341538,balanced
16,0.8351243254106653,0.8385877114756715,0.8455144836056837,0.006926772130012249,False,0.17342173640781267,balanced
17,0.8351905775658115,0.8385875703819947,0.8453815560143612,0.006793985632366439,False,0.08464188343830302,balanced
18,0.8352318773198529,0.8385335156721754,0.8451367923768203,0.006603276704644889,False,0.05110333258151407,balanced
19,0.8327732243602388,0.8356868157509721,0.8415139985324389,0.0058271827814667665,False,0.008594999280333974,balanced
20,0.8350866010546691,0.8383654184138448,0.8449230531321963,0.006557634718351468,False,0.039346593539084554,balanced
21,0.8351468575804641,0.8385433310669755,0.8453362780399984,0.006792946973022906,False,0.07495849797769727,balanced
22,0.8349107481899516,0.8380923904165026,0.8444556748696046,0.0063632844531019694,False,0.026956972710598784,balanced
23,0.8351392506065918,0.8385320281886107,0.8453175833526487,0.006785555164038004,False,0.07186853377476929,balanced
