trial,mean_valid_auc,mean_train_auc,gap,overfit,penalty,C
155,0.8353700581477245,0.8407522554975733,0.005382197349848794,False,l1,0.09502842558605931
161,0.8353691773403946,0.8407698431947643,0.005400665854369713,False,l1,0.0964877386607324
43,0.8353677999606133,0.840739160328529,0.005371360367915745,False,l1,0.09319494645779597
78,0.835367546199539,0.8407653187839683,0.005397772584429306,False,l1,0.09606694296299008
52,0.8353674214751207,0.840776739844984,0.0054093183698633585,False,l1,0.09703941110741189
45,0.8353674182615073,0.8407731972315876,0.005405778970080322,False,l1,0.0968123651876974
91,0.8353654142807729,0.8407298909499075,0.0053644766691345325,False,l1,0.09222607077495179
171,0.8353641590151304,0.8407280371901882,0.00536387817505779,False,l1,0.09208023481504136
41,0.8353640280417645,0.8407620349043231,0.005398006862558646,False,l1,0.09580667681850573
65,0.8353640221700985,0.8407812253203387,0.005417203150240191,False,l1,0.09762543532265175
119,0.8353633985067184,0.8407462536881616,0.0053828551814432135,False,l1,0.09412572716256674
92,0.8353595014013806,0.840748304341559,0.0053888029401784054,False,l1,0.09429020847002628
132,0.8353591134055541,0.8407872581822078,0.005428144776653654,False,l1,0.09852002439953075
134,0.8353590027587074,0.840716976376472,0.005357973617764578,False,l1,0.09085605971118896
121,0.8353588800670199,0.8407267487147969,0.005367868647777052,False,l1,0.09185623069606792
136,0.8353587517986891,0.8406900165557705,0.005331264757081344,False,l1,0.08850337376758052
185,0.8353585015105003,0.8407217211956496,0.005363219685149301,False,l1,0.09141728262593353
181,0.8353577519883268,0.8406120766590192,0.005254324670692312,False,l1,0.08278879879768329
176,0.835357622925412,0.8406933863391494,0.0053357634137373156,False,l1,0.08881535870104305
144,0.835357119351191,0.8406057607823471,0.005248641431156109,False,l1,0.0823489463799898
162,0.8353568514880255,0.8407876823089954,0.005430830820969845,False,l1,0.09850163349201606
143,0.835355612675482,0.8406924203756766,0.0053368077001946235,False,l1,0.08887282148490408
111,0.8353554823106698,0.8407169136890253,0.005361431378355541,False,l1,0.09096752762222132
191,0.8353551140155661,0.840612469340121,0.005257355324554958,False,l1,0.08291658205013527
124,0.8353537069617089,0.840799559682976,0.005445852721267186,False,l1,0.09971153015408431
187,0.8353534575813677,0.8408045008822207,0.005451043300852998,False,l1,0.10011477177251007
151,0.8353527228706057,0.8407076598846009,0.0053549370139952535,False,l1,0.0901157533589112
139,0.8353520937606138,0.8406375976185657,0.005285503857951901,False,l1,0.08467268244588783
192,0.8353518374905011,0.8406861203380039,0.005334282847502814,False,l1,0.08813066108130473
47,0.8353517223156471,0.8406451467296275,0.0052934244139803965,False,l1,0.0853655677719133
125,0.8353515359227579,0.84085240309325,0.005500867170492141,False,l1,0.10653544447247897
42,0.8353509615217035,0.8406797890269303,0.005328827505226785,False,l1,0.08769003356347248
147,0.8353509602228122,0.8405463603087405,0.005195400085928337,False,l1,0.0791865250816086
88,0.8353508335574125,0.8406808023543565,0.005329968796944029,False,l1,0.08776136670565124
182,0.835350582975941,0.8406848949304088,0.005334311954467763,False,l1,0.0880337508067353
172,0.8353503299754402,0.8406807473035667,0.005330417328126447,False,l1,0.0877678428298704
80,0.8353500816174758,0.8407049576492274,0.005354876031751554,False,l1,0.08993724691447626
100,0.835350064272032,0.8407945482421141,0.005444483970082126,False,l1,0.09907700028890004
104,0.8353498277061219,0.8406853347054858,0.005335506999363915,False,l1,0.08809414440993656
38,0.8353491652898724,0.8408395210382299,0.005490355748357545,False,l1,0.10534346862790878
81,0.8353484456058172,0.8406714071719217,0.005322961566104456,False,l1,0.08728709590035351
61,0.835348408133331,0.8408410919133044,0.005492683779973362,False,l1,0.10518878989638492
72,0.8353474491813364,0.8405393847548638,0.005191935573527373,False,l1,0.07845829939763706
142,0.8353459005486361,0.8408119718087261,0.005466071260090022,False,l1,0.1017364648142648
53,0.8353458074095348,0.8405468787538981,0.005201071344363317,False,l1,0.07913851869894187
73,0.8353456302496738,0.8408566375186108,0.0055110072689370515,False,l1,0.10745041625063143
174,0.8353452533968516,0.8408579414031191,0.005512688006267474,False,l1,0.10789022788977026
194,0.8353445142291095,0.8408408244722987,0.005496310243189195,False,l1,0.10566122821819009
167,0.8353442676200846,0.8408153647208731,0.0054710971007885245,False,l1,0.10205519681185748
103,0.8353422451970225,0.8408376667264245,0.005495421529401967,False,l1,0.10483315991863205
131,0.8353419757189039,0.8408687188274563,0.00552674310855239,False,l1,0.10964777342591911
197,0.8353395282850127,0.8406589398175264,0.005319411532513696,False,l1,0.08635446694512859
195,0.8353386560711517,0.8404909480343858,0.00515229196323419,False,l1,0.07549894806058598
115,0.8353370201137519,0.8405062977609697,0.0051692776472178625,False,l1,0.07662447727915069
184,0.8353365419387024,0.8409475597514527,0.005611017812750307,False,l1,0.12224848001029126
101,0.8353361409886059,0.8404909244172512,0.005154783428645282,False,l1,0.07551432025173518
163,0.8353355706038167,0.840859960033549,0.005524389429732324,False,l1,0.10828167418318294
33,0.8353344061715099,0.8409484549640338,0.005614048792523918,False,l1,0.12242873106807753
156,0.8353332822667966,0.8409040514354089,0.005570769168612322,False,l1,0.11531921113347042
159,0.8353324958721486,0.8404738713213751,0.005141375449226437,False,l1,0.07486420139069506
49,0.8353304855632142,0.8404794168317963,0.005148931268582069,False,l1,0.07496446911513961
114,0.8353301426672818,0.8408979953728857,0.005567852705603893,False,l1,0.11418275443430774
71,0.8353301387150832,0.8409256215293242,0.005595482814240937,False,l1,0.11829292836563665
196,0.8353281323816011,0.8409014671402524,0.005573334758651294,False,l1,0.11445421106064003
153,0.835326966553591,0.8404784425595082,0.005151476005917255,False,l1,0.07490940794125478
140,0.8353264643845645,0.8410186086747924,0.005692144290227907,False,l1,0.13494201370682957
177,0.8353248394341263,0.8404355133165868,0.005110673882460559,False,l1,0.07287314207483575
193,0.8353248205692754,0.8410345230215006,0.00570970245222524,False,l1,0.13787217849403394
106,0.8353247037019553,0.8404654815280515,0.005140777826096121,False,l1,0.07438727619555777
154,0.835324437396479,0.8410439649424216,0.0057195275459426265,False,l1,0.14008730227202545
164,0.8353214228051741,0.8410387641736975,0.005717341368523421,False,l1,0.1388242139344442
95,0.8353203123474906,0.8409991435255699,0.005678831178079324,False,l1,0.13098915741047454
166,0.835317918883477,0.8404665657021442,0.005148646818667224,False,l1,0.07440506164178476
129,0.8353173068134655,0.8409598446415881,0.005642537828122629,False,l1,0.12460566940453613
32,0.8353149114480178,0.8410027256835815,0.005687814235563637,False,l1,0.13174882847747196
37,0.8353143810232396,0.8410643714392956,0.00574999041605595,False,l1,0.1439278385013132
169,0.8353131525646523,0.8410012331560119,0.005688080591359612,False,l1,0.13147116436675285
29,0.8353087193476354,0.8410782733997182,0.005769554052082793,False,l1,0.1463679901500122
148,0.8353082578414543,0.8409674480838557,0.005659190242401357,False,l1,0.12594497534555094
85,0.8353044824656977,0.8409837397553481,0.005679257289650463,False,l1,0.12858744283083653
117,0.8353015597758215,0.8410720528346797,0.005770493058858128,False,l1,0.14529173363454698
82,0.8352956471587069,0.841097203709929,0.0058015565512221645,False,l1,0.15053813046183817
186,0.8352933852799348,0.8410989475074399,0.005805562227505057,False,l1,0.1513043934398209
102,0.8352928859076929,0.841101822518936,0.005808936611243043,False,l1,0.15193956913448753
123,0.8352856232841696,0.8403171413341864,0.005031518050016892,False,l1,0.0676147543555088
183,0.835283987766061,0.8403419957745175,0.0050580080084564605,False,l1,0.06882610829458474
199,0.8352806785975513,0.8411269119009267,0.005846233303375414,False,l1,0.15713035709196663
26,0.8352780324288507,0.8411432805972996,0.005865248168448911,False,l1,0.16092914110629933
