trial,objective_value,mean_valid_auc,mean_train_auc,gap,overfit,param_C,param_class_weight
0,0.8595943526161787,0.8633617872151677,0.8708966564131455,0.007534869197977856,False,0.03148911647956861,
1,0.8602515470572853,0.8643135372135113,0.8724375175259633,0.008123980312451984,False,0.24810409748678125,
2,0.8496304884450074,0.8519669069655118,0.8566397440065205,0.004672837041008737,False,0.0017073967431528124,
3,0.8611397025424089,0.8651443426610423,0.8731536228983092,0.00800928023726688,False,0.679657809075816,balanced
4,0.8601719222911068,0.8642829001045176,0.8725048557313391,0.008221955626821487,False,2.1368329072358767,
5,0.8572669199684553,0.8604089349401208,0.866692964883452,0.006284029943331215,False,0.00541524411940254,balanced
6,0.8609245820458289,0.8647905973967468,0.8725226280985827,0.0077320307018359236,False,0.05342937261279776,balanced
7,0.8557928263291397,0.8587576314364016,0.8646872416509256,0.005929610214523984,False,0.003613894271216527,balanced
8,0.8601658177739935,0.864076933361474,0.8718991645364349,0.007822231174960947,False,0.06672367170464207,
9,0.8602977967389712,0.8642773224708286,0.8722363739345432,0.007959051463714673,False,0.11400863701127326,
10,0.8610694567220983,0.8650978352913414,0.8731545924298276,0.008056757138486192,False,7.443070276210447,balanced
11,0.861096232128123,0.8651154055946065,0.8731537525275735,0.008038346932967011,False,7.553503645583182,balanced
12,0.8611348938225554,0.8651393494169828,0.8731482606058376,0.008008911188854828,False,0.9143312815400293,balanced
13,0.861132763944463,0.8651376243886449,0.8731473452770089,0.008009720888363936,False,0.7786955091769266,balanced
14,0.8611261108595899,0.8651338386644216,0.873149294274085,0.008015455609663436,False,0.9520145760425359,balanced
15,0.8611091296024369,0.8651171053847826,0.8731330569494741,0.008015951564691481,False,0.3142113799200944,balanced
16,0.8610844335184356,0.8651083438308312,0.8731561644556226,0.008047820624791369,False,2.04699666277182,balanced
17,0.8600401978034008,0.8636652361045781,0.8709153127069328,0.00725007660235466,False,0.018676794714170896,balanced
18,0.8611341703397668,0.8651365807906675,0.8731414016924687,0.008004820901801213,False,0.3733139407733155,balanced
19,0.8611055845329773,0.8651209191233651,0.8731515883041407,0.008030669180775662,False,2.575787955311999,balanced
20,0.8611492239743519,0.8651236425733714,0.8730724797714104,0.007948837198039072,False,0.17012813810295457,balanced
21,0.8611502816228978,0.8651158882744449,0.873047101577539,0.007931213303094098,False,0.14872975808281816,balanced
22,0.8611456561359665,0.8651107192465904,0.8730408454678384,0.007930126221248002,False,0.1440391093220846,balanced
23,0.8611412998549908,0.8651088272678145,0.873043882093462,0.007935054825647492,False,0.14531728228939353,balanced
24,0.8600245870472786,0.8636473170099215,0.8708927769352073,0.007245459925285802,False,0.018483671450596505,balanced
25,0.8611267772254916,0.8651162403467975,0.8730951665894093,0.007978926242611872,False,0.1924330345647711,balanced
26,0.8608794283065533,0.8647239256193524,0.8724129202449508,0.0076889946255983554,False,0.047735192240005636,balanced
27,0.8593039925649786,0.8627464482808553,0.8696313597126089,0.006884911431753515,False,0.011602610364859689,balanced
28,0.8610885751553313,0.8650195757906722,0.872881577061354,0.007862001270681818,False,0.08979705138036331,balanced
29,0.859349334069941,0.8630020540708682,0.8703074940727227,0.007305440001854513,False,0.02411593327303635,
30,0.8608076902366341,0.8645657860756648,0.8720819777537263,0.007516191678061501,False,0.03602499468917374,balanced
31,0.8611413542317039,0.8650958996505462,0.8730049904882309,0.007909090837684651,False,0.12656504227165755,balanced
32,0.8611264267276222,0.8651315870418446,0.8731419076702893,0.008010320628444756,False,0.39346734767698105,balanced
33,0.8611521534774884,0.8651200253138761,0.8730557689866514,0.007935743672775275,False,0.15570891168778075,balanced
34,0.8602644539848265,0.8643193854002913,0.8724292482312208,0.008109862830929515,False,0.22913275045852932,
35,0.8611361123870065,0.8651395193960003,0.873146333413988,0.00800681401798764,False,0.5005336164436208,balanced
36,0.8601498832221537,0.864122429438044,0.8720675218698245,0.007945092431780543,False,0.08242704143826762,
37,0.8611517539607938,0.8651238145714417,0.8730679357927376,0.007944121221295841,False,0.1650064628247235,balanced
38,0.8582019795508046,0.8615010387711791,0.8680991572119282,0.00659811844074909,False,0.007484437327614716,balanced
39,0.8503603819695013,0.8528235166664931,0.8577497860604769,0.004926269393983773,False,0.0013363831485385062,balanced
40,0.8598629367100166,0.8636951488783373,0.8713595732149789,0.0076644243366416065,False,0.04203803890550959,
41,0.8611348151052072,0.8651179631037007,0.8730842591006878,0.00796629599698706,False,0.18252719140555795,balanced
42,0.8610370874406157,0.8649367011136023,0.8727359284595757,0.007799227345973381,False,0.07034876666528193,balanced
