week_stage_group,AARRR_stage_primary,number_of_features,max_abs_SMD_within_promotion_target,max_abs_SMD_within_nonpromotion_target,average_abs_SMD_within_promotion_target,average_abs_SMD_within_nonpromotion_target,strongest_feature_promotion,strongest_feature_nonpromotion,safe_summary
activation_onboarding,activation,2,0.10724575857511606,0.10248246461133356,0.0755153071735329,0.0614067943024802,is_cold_start_3d,is_cold_start_7d,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
retention_change,retention,5,0.43280640300842604,0.4443914059565071,0.3153378209285823,0.3414761655420182,diff_between_w3_w1,diff_between_w3_w1,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
week1,activation,4,0.5487347215544293,0.6688643867741991,0.28131794211724165,0.3544353182662262,is_only_w1,is_only_w1,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
week1,retention,1,0.040341345527741074,0.07119698779225124,0.040341345527741074,0.07119698779225124,avg_gap_w1_watch_days,avg_gap_w1_watch_days,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
week2,retention,5,0.42662425147130806,0.5042875788643602,0.24526084195384387,0.2846788746184733,watch_time(min)_w2,watch_time(min)_w2,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
week3,retention,5,0.6913420634313308,0.7500986291124194,0.44419737727166203,0.49237153508693643,watch_time(min)_w3,watch_session_w3,This compares descriptive within-target SMDs by feature timing group; it does not test significance or causality.
